Title,Author,HTML_Link,Bookshelf
Buffalo Land,W. E. Webb,https://www.gutenberg.org/cache/epub/39674/pg39674-images.html,Animals-Wild-Trapping
Home Taxidermy for Pleasure and Profit,Albert Burton Farnham,https://www.gutenberg.org/cache/epub/23259/pg23259-images.html,Animals-Wild-Trapping
ABC of Fox Hunting,Sir John Dean Paul,https://www.gutenberg.org/cache/epub/30243/pg30243-images.html,Animals-Wild-Trapping
Mr. Sponge's Sporting Tour,Robert Smith Surtees,https://www.gutenberg.org/cache/epub/16957/pg16957-images.html,Animals-Wild-Trapping
Mink Trapping: A Book of Instruction Giving Many Methods of Trapping,Harding,https://www.gutenberg.org/cache/epub/34093/pg34093-images.html,Animals-Wild-Trapping
The Confessions of a Poacher,F.L.S. John Watson,https://www.gutenberg.org/cache/epub/36970/pg36970-images.html,Animals-Wild-Trapping
Fur Farming,A. R. Harding,https://www.gutenberg.org/cache/epub/33830/pg33830-images.html,Animals-Wild-Trapping
Methods of Destroying Rats,David E. Lantz,https://www.gutenberg.org/cache/epub/34437/pg34437-images.html,Animals-Wild-Trapping
Taxidermy,Leon Luther Pray,https://www.gutenberg.org/cache/epub/29691/pg29691-images.html,Animals-Wild-Trapping
Blue-Bird Weather,Robert W. Chambers,https://www.gutenberg.org/cache/epub/24389/pg24389-images.html,Animals-Wild-Trapping
Off to the Wilds: Being the Adventures of Two Brothers,George Manville Fenn,https://www.gutenberg.org/cache/epub/21359/pg21359-images.html,Animals-Wild-Trapping
The Hunters' Feast: Conversations Around the Camp Fire,Mayne Reid,https://www.gutenberg.org/cache/epub/23499/pg23499-images.html,Animals-Wild-Trapping
Letters on an Elk Hunt,Elinore Pruitt Stewart,https://www.gutenberg.org/cache/epub/28572/pg28572-images.html,Animals-Wild-Trapping
The Giraffe Hunters,Mayne Reid,https://www.gutenberg.org/cache/epub/27911/pg27911-images.html,Animals-Wild-Trapping
Dead Man's Land,George Manville Fenn,https://www.gutenberg.org/cache/epub/23922/pg23922-images.html,Animals-Wild-Trapping
Game Birds and Game Fishes of the Pacific Coast,Harry Thom Payne,https://www.gutenberg.org/cache/epub/38032/pg38032-images.html,Animals-Wild-Trapping
"Birds, Illustrated","Color Photography, Vol. 1, No. 1 Various",https://www.gutenberg.org/cache/epub/30221/pg30221-images.html,Animals-Wild-Birds
What Bird is That?,Frank M. Chapman,https://www.gutenberg.org/cache/epub/31751/pg31751-images.html,Animals-Wild-Birds
Ducks at a Distance: A Waterfowl Identification Guide,Bob Hines,https://www.gutenberg.org/cache/epub/18884/pg18884-images.html,Animals-Wild-Birds
Birds in Town & Village,W. H. Hudson,https://www.gutenberg.org/cache/epub/7353/pg7353-images.html,Animals-Wild-Birds
Bird Houses Boys Can Build,Albert Frederick Siepert,https://www.gutenberg.org/cache/epub/25990/pg25990-images.html,Animals-Wild-Birds
Birds and Man,W. H. Hudson,https://www.gutenberg.org/cache/epub/37787/pg37787-images.html,Animals-Wild-Birds
Antarctic Penguins: A Study of Their Social Habits,G. Murray Levick,https://www.gutenberg.org/cache/epub/36922/pg36922-images.html,Animals-Wild-Birds
The Bird Book,Chester A. Reed,https://www.gutenberg.org/cache/epub/30000/pg30000-images.html,Animals-Wild-Birds
Birds from North Borneo,Max C. Thompson,https://www.gutenberg.org/cache/epub/33044/pg33044-images.html,Animals-Wild-Birds
"Birds, Illustrated","Color Photography, Vol. 1, No. 4 Various",https://www.gutenberg.org/cache/epub/25874/pg25874-images.html,Animals-Wild-Birds
"Birds, Illustrated","Color Photography, Vol. 1, No. 5 Various",https://www.gutenberg.org/cache/epub/25983/pg25983-images.html,Animals-Wild-Birds
